Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Unit,Energy,Energy_TWh
2023,Coal,Patent fuel manufacture,Demand,Transformation,,ktoe,98.71,1.1479972999999999
2023,Coal,Other,Demand,Transformation,,ktoe,0.0,0.0
2023,Coal,Electricity generation,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Oil and gas extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Petroleum refineries,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Coal extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Coke manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Blast furnaces,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Pumped storage,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Other,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Losses,Demand,,,ktoe,0.0,0.0
2023,Coal,Unclassified,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Coal,Iron and steel,Demand,Final consumption,Industry,ktoe,21.16,0.2460908
2023,Coal,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,16.1,0.18724300000000002
2023,Coal,Mineral products,Demand,Final consumption,Industry,ktoe,344.69,4.0087447
2023,Coal,Chemicals,Demand,Final consumption,Industry,ktoe,38.52,0.44798760000000004
2023,Coal,Mechanical engineering etc,Demand,Final consumption,Industry,ktoe,8.14,0.09466820000000001
2023,Coal,Electrical engineering etc,Demand,Final consumption,Industry,ktoe,3.65,0.0424495
2023,Coal,Vehicles,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Coal,"Food, beverages etc",Demand,Final consumption,Industry,ktoe,36.14,0.4203082
2023,Coal,"Textiles, leather etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Coal,"Paper, printing etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Coal,Other industries,Demand,Final consumption,Industry,ktoe,192.94,2.2438922
2023,Coal,Construction,Demand,Final consumption,Industry,ktoe,6.98,0.0811774
2023,Coal,Air,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Coal,Rail,Demand,Final consumption,Transport,ktoe,10.77,0.12525509999999998
2023,Coal,Road,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Coal,National navigation,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Coal,Pipelines,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Coal,Domestic,Demand,Final consumption,Other final users,ktoe,139.84,1.6263392
2023,Coal,Public administration,Demand,Final consumption,Other final users,ktoe,0.75,0.0087225
2023,Coal,Commercial,Demand,Final consumption,Other final users,ktoe,3.51,0.0408213
2023,Coal,Agriculture,Demand,Final consumption,Other final users,ktoe,0.0,0.0
2023,Coal,Miscellaneous,Demand,Final consumption,Other final users,ktoe,4.92,0.057219599999999995
2023,Coal,Non energy use,Demand,Final consumption,,ktoe,0.0,0.0
2023,Electricity,Production,Supply,,,ktoe,0.0,0.0
2023,Electricity,Imports,Supply,,,ktoe,2864.94,33.3192522
2023,Electricity,Exports,Supply,,,ktoe,-815.61,-9.485544299999999
2023,Electricity,Marine bunkers,Supply,,,ktoe,0.0,0.0
2023,Electricity,Stock change,Supply,,,ktoe,0.0,0.0
2023,Electricity,Statistical difference,Statistical difference,,,ktoe,-24.47,-0.28458609999999995
2023,Electricity,Transfers,Demand,,,ktoe,8748.26,101.7422638
2023,Electricity,Major power producers,Demand,Transformation,Electricity generation,ktoe,13111.29,152.4843027
2023,Electricity,Autogenerators,Demand,Transformation,Electricity generation,ktoe,3062.26,35.6140838
2023,Electricity,Heat generation,Demand,Transformation,,ktoe,0.0,0.0
2023,Electricity,Petroleum refineries,Demand,Transformation,,ktoe,0.0,0.0
2023,Electricity,Coke manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Electricity,Blast furnaces,Demand,Transformation,,ktoe,0.0,0.0
2023,Electricity,Patent fuel manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Electricity,Other,Demand,Transformation,,ktoe,0.0,0.0
2023,Electricity,Electricity generation,Demand,Energy industry use,,ktoe,957.95,11.1409585
2023,Electricity,Oil and gas extraction,Demand,Energy industry use,,ktoe,46.24,0.5377712
2023,Electricity,Petroleum refineries,Demand,Energy industry use,,ktoe,284.1,3.3040830000000003
2023,Electricity,Coal extraction,Demand,Energy industry use,,ktoe,8.98,0.1044374
2023,Electricity,Coke manufacture,Demand,Energy industry use,,ktoe,1.5,0.017445
2023,Electricity,Blast furnaces,Demand,Energy industry use,,ktoe,11.64,0.1353732
2023,Electricity,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Electricity,Pumped storage,Demand,Energy industry use,,ktoe,40.94,0.47613219999999995
2023,Electricity,Other,Demand,Energy industry use,,ktoe,98.35,1.1438104999999998
2023,Electricity,Losses,Demand,,,ktoe,2490.56,28.9652128
2023,Electricity,Unclassified,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Electricity,Iron and steel,Demand,Final consumption,Industry,ktoe,182.51,2.1225913
2023,Electricity,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,452.24,5.2595512
2023,Electricity,Mineral products,Demand,Final consumption,Industry,ktoe,452.24,5.2595512
2023,Electricity,Chemicals,Demand,Final consumption,Industry,ktoe,1206.12,14.027175599999998
2023,Electricity,Mechanical engineering etc,Demand,Final consumption,Industry,ktoe,463.18,5.3867834
2023,Electricity,Electrical engineering etc,Demand,Final consumption,Industry,ktoe,502.96,5.8494247999999995
2023,Electricity,Vehicles,Demand,Final consumption,Industry,ktoe,321.7,3.7413709999999996
2023,Electricity,"Food, beverages etc",Demand,Final consumption,Industry,ktoe,938.28,10.9121964
2023,Electricity,"Textiles, leather etc",Demand,Final consumption,Industry,ktoe,202.51,2.3551913
2023,Electricity,"Paper, printing etc",Demand,Final consumption,Industry,ktoe,753.72,8.7657636
2023,Electricity,Other industries,Demand,Final consumption,Industry,ktoe,1800.11,20.935279299999998
2023,Electricity,Construction,Demand,Final consumption,Industry,ktoe,135.46,1.5753998
2023,Electricity,Air,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Electricity,Rail,Demand,Final consumption,Transport,ktoe,407.54,4.7396902
2023,Electricity,Road,Demand,Final consumption,Transport,ktoe,531.46,6.1808798000000005
2023,Electricity,National navigation,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Electricity,Pipelines,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Electricity,Domestic,Demand,Final consumption,Other final users,ktoe,7958.36,92.55572679999999
2023,Electricity,Public administration,Demand,Final consumption,Other final users,ktoe,1270.67,14.7778921
2023,Electricity,Commercial,Demand,Final consumption,Other final users,ktoe,5263.14,61.2103182
2023,Electricity,Agriculture,Demand,Final consumption,Other final users,ktoe,295.02,3.4310826
2023,Electricity,Miscellaneous,Demand,Final consumption,Other final users,ktoe,0.0,0.0
2023,Electricity,Non energy use,Demand,Final consumption,,ktoe,0.0,0.0
2023,Heat sold,Production,Supply,,,ktoe,0.0,0.0
2023,Heat sold,Imports,Supply,,,ktoe,0.0,0.0
2023,Heat sold,Exports,Supply,,,ktoe,0.0,0.0
2023,Heat sold,Marine bunkers,Supply,,,ktoe,0.0,0.0
2023,Heat sold,Stock change,Supply,,,ktoe,0.0,0.0
2023,Heat sold,Statistical difference,Statistical difference,,,ktoe,0.0,0.0
2023,Heat sold,Transfers,Demand,,,ktoe,0.0,0.0
2023,Heat sold,Major power producers,Demand,Transformation,Electricity generation,ktoe,0.0,0.0
2023,Heat sold,Autogenerators,Demand,Transformation,Electricity generation,ktoe,0.0,0.0
2023,Heat sold,Heat generation,Demand,Transformation,,ktoe,1523.37,17.716793099999997
2023,Heat sold,Petroleum refineries,Demand,Transformation,,ktoe,0.0,0.0
2023,Heat sold,Coke manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Heat sold,Blast furnaces,Demand,Transformation,,ktoe,0.0,0.0
2023,Heat sold,Patent fuel manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Heat sold,Other,Demand,Transformation,,ktoe,0.0,0.0
2023,Heat sold,Electricity generation,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Heat sold,Oil and gas extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Heat sold,Petroleum refineries,Demand,Energy industry use,,ktoe,336.42,3.9125646
2023,Heat sold,Coal extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Heat sold,Coke manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Heat sold,Blast furnaces,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Heat sold,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Heat sold,Pumped storage,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Heat sold,Other,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Heat sold,Losses,Demand,,,ktoe,0.0,0.0
2023,Heat sold,Unclassified,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Heat sold,Iron and steel,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Heat sold,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Heat sold,Mineral products,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Heat sold,Chemicals,Demand,Final consumption,Industry,ktoe,123.61,1.4375843
2023,Heat sold,Mechanical engineering etc,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Heat sold,Electrical engineering etc,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Heat sold,Vehicles,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Heat sold,"Food, beverages etc",Demand,Final consumption,Industry,ktoe,16.69,0.19410470000000002
2023,Heat sold,"Textiles, leather etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Heat sold,"Paper, printing etc",Demand,Final consumption,Industry,ktoe,28.1,0.326803
2023,Heat sold,Other industries,Demand,Final consumption,Industry,ktoe,417.84,4.8594792
2023,Heat sold,Construction,Demand,Final consumption,Industry,ktoe,0.11,0.0012793
2023,Heat sold,Air,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Heat sold,Rail,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Heat sold,Road,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Heat sold,National navigation,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Heat sold,Pipelines,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Heat sold,Domestic,Demand,Final consumption,Other final users,ktoe,270.95,3.1511484999999997
2023,Heat sold,Public administration,Demand,Final consumption,Other final users,ktoe,81.64,0.9494732
2023,Heat sold,Commercial,Demand,Final consumption,Other final users,ktoe,242.02,2.8146926
2023,Heat sold,Agriculture,Demand,Final consumption,Other final users,ktoe,2.94,0.0341922
2023,Heat sold,Miscellaneous,Demand,Final consumption,Other final users,ktoe,3.06,0.0355878
2023,Heat sold,Non energy use,Demand,Final consumption,,ktoe,0.0,0.0
2023,Manufactured fuel,Production,Supply,,,ktoe,0.0,0.0
2023,Manufactured fuel,Imports,Supply,,,ktoe,1165.43,13.5539509
2023,Manufactured fuel,Exports,Supply,,,ktoe,-4.68,-0.054428399999999995
2023,Manufactured fuel,Marine bunkers,Supply,,,ktoe,0.0,0.0
2023,Manufactured fuel,Stock change,Supply,,,ktoe,312.3,3.632049
2023,Manufactured fuel,Statistical difference,Statistical difference,,,ktoe,-2.83,-0.0329129
2023,Manufactured fuel,Transfers,Demand,,,ktoe,12.58,0.1463054
2023,Manufactured fuel,Major power producers,Demand,Transformation,Electricity generation,ktoe,0.0,0.0
2023,Manufactured fuel,Autogenerators,Demand,Transformation,Electricity generation,ktoe,368.81,4.2892603
2023,Manufactured fuel,Heat generation,Demand,Transformation,,ktoe,1.16,0.013490799999999999
2023,Manufactured fuel,Petroleum refineries,Demand,Transformation,,ktoe,0.0,0.0
2023,Manufactured fuel,Coke manufacture,Demand,Transformation,,ktoe,556.72,6.4746536
2023,Manufactured fuel,Blast furnaces,Demand,Transformation,,ktoe,1002.26,11.656283799999999
2023,Manufactured fuel,Patent fuel manufacture,Demand,Transformation,,ktoe,129.26,1.5032937999999998
2023,Manufactured fuel,Other,Demand,Transformation,,ktoe,0.0,0.0
2023,Manufactured fuel,Electricity generation,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Manufactured fuel,Oil and gas extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Manufactured fuel,Petroleum refineries,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Manufactured fuel,Coal extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Manufactured fuel,Coke manufacture,Demand,Energy industry use,,ktoe,94.5,1.099035
2023,Manufactured fuel,Blast furnaces,Demand,Energy industry use,,ktoe,198.07,2.3035541
2023,Manufactured fuel,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Manufactured fuel,Pumped storage,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Manufactured fuel,Other,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Manufactured fuel,Losses,Demand,,,ktoe,62.06,0.7217578
2023,Manufactured fuel,Unclassified,Demand,Final consumption,Industry,ktoe,0.0,0.0
