Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Aggregate_type,Unit,Energy,Row
2023,Coal,Stock change,Supply,,,value,ktoe,779.47,9
2023,Coal,Total supply,Supply,,,sum,ktoe,3041.53,10
2023,Coal,Statistical difference,Statistical difference,,,value,ktoe,-21.65,11
2023,Coal,Total demand,Demand,,,sum,ktoe,3063.18,12
2023,Coal,Transfers,Demand,,,value,ktoe,0.0,13
2023,Coal,Transformation,Demand,Transformation,,sum,ktoe,-2235.08,14
2023,Coal,Electricity generation,Demand,Transformation,Electricity generation,sum,ktoe,-922.28,15
2023,Coal,Major power producers,Demand,Transformation,Electricity generation,value,ktoe,-921.78,16
2023,Coal,Autogenerators,Demand,Transformation,Electricity generation,value,ktoe,-0.5,17
2023,Coal,Heat generation,Demand,Transformation,,value,ktoe,-3.62,18
2023,Coal,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,19
2023,Coal,Coke manufacture,Demand,Transformation,,value,ktoe,-605.51,20
2023,Coal,Blast furnaces,Demand,Transformation,,value,ktoe,-604.97,21
2023,Coal,Patent fuel manufacture,Demand,Transformation,,value,ktoe,-98.71,22
2023,Coal,Other,Demand,Transformation,,value,ktoe,0.0,23
2023,Coal,Energy industry use,Demand,Energy industry use,,sum,ktoe,0.0,24
2023,Coal,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,25
2023,Coal,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,26
2023,Coal,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Coal,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Coal,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,29
2023,Coal,Blast furnaces,Demand,Energy industry use,,value,ktoe,0.0,30
2023,Coal,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Coal,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Coal,Other,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Coal,Losses,Demand,,,value,ktoe,0.0,34
2023,Coal,Final consumption,Demand,Final consumption,,sum,ktoe,828.11,35
2023,Coal,Industry,Demand,Final consumption,Industry,sum,ktoe,668.31,36
2023,Coal,Unclassified,Demand,Final consumption,Industry,value,ktoe,0.0,37
2023,Coal,Iron and steel,Demand,Final consumption,Industry,value,ktoe,21.16,38
2023,Coal,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,16.1,39
2023,Coal,Mineral products,Demand,Final consumption,Industry,value,ktoe,344.69,40
2023,Coal,Chemicals,Demand,Final consumption,Industry,value,ktoe,38.52,41
2023,Coal,Mechanical engineering etc,Demand,Final consumption,Industry,value,ktoe,8.14,42
2023,Coal,Electrical engineering etc,Demand,Final consumption,Industry,value,ktoe,3.65,43
2023,Coal,Vehicles,Demand,Final consumption,Industry,value,ktoe,0.0,44
2023,Coal,"Food, beverages etc",Demand,Final consumption,Industry,value,ktoe,36.14,45
2023,Coal,"Textiles, leather etc",Demand,Final consumption,Industry,value,ktoe,0.0,46
2023,Coal,"Paper, printing etc",Demand,Final consumption,Industry,value,ktoe,0.0,47
2023,Coal,Other industries,Demand,Final consumption,Industry,value,ktoe,192.94,48
2023,Coal,Construction,Demand,Final consumption,Industry,value,ktoe,6.98,49
2023,Coal,Transport,Demand,Final consumption,Transport,sum,ktoe,10.77,50
2023,Coal,Air,Demand,Final consumption,Transport,value,ktoe,0.0,51
2023,Coal,Rail,Demand,Final consumption,Transport,value,ktoe,10.77,52
2023,Coal,Road,Demand,Final consumption,Transport,value,ktoe,0.0,53
2023,Coal,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Coal,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,55
2023,Coal,Other,Demand,Final consumption,Other final users,sum,ktoe,149.02,56
2023,Coal,Domestic,Demand,Final consumption,Other final users,value,ktoe,139.84,57
2023,Coal,Public administration,Demand,Final consumption,Other final users,value,ktoe,0.75,58
2023,Coal,Commercial,Demand,Final consumption,Other final users,value,ktoe,3.51,59
2023,Coal,Agriculture,Demand,Final consumption,Other final users,value,ktoe,0.0,60
2023,Coal,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,4.92,61
2023,Coal,Non energy use,Demand,Final consumption,,value,ktoe,0.0,62
2023,Electricity,Production,Supply,,,value,ktoe,0.0,5
2023,Electricity,Imports,Supply,,,value,ktoe,2864.94,6
2023,Electricity,Exports,Supply,,,value,ktoe,-815.61,7
2023,Electricity,Marine bunkers,Supply,,,value,ktoe,0.0,8
2023,Electricity,Stock change,Supply,,,value,ktoe,0.0,9
2023,Electricity,Total supply,Supply,,,sum,ktoe,2049.33,10
2023,Electricity,Statistical difference,Statistical difference,,,value,ktoe,-24.47,11
2023,Electricity,Total demand,Demand,,,sum,ktoe,2073.8,12
2023,Electricity,Transfers,Demand,,,value,ktoe,8748.26,13
2023,Electricity,Transformation,Demand,Transformation,,sum,ktoe,16173.55,14
2023,Electricity,Electricity generation,Demand,Transformation,Electricity generation,sum,ktoe,16173.55,15
2023,Electricity,Major power producers,Demand,Transformation,Electricity generation,value,ktoe,13111.29,16
2023,Electricity,Autogenerators,Demand,Transformation,Electricity generation,value,ktoe,3062.26,17
2023,Electricity,Heat generation,Demand,Transformation,,value,ktoe,0.0,18
2023,Electricity,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,19
2023,Electricity,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,20
2023,Electricity,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,21
2023,Electricity,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Electricity,Other,Demand,Transformation,,value,ktoe,0.0,23
2023,Electricity,Energy industry use,Demand,Energy industry use,,sum,ktoe,1367.82,24
2023,Electricity,Electricity generation,Demand,Energy industry use,,value,ktoe,957.95,25
2023,Electricity,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,46.24,26
2023,Electricity,Petroleum refineries,Demand,Energy industry use,,value,ktoe,284.1,27
2023,Electricity,Coal extraction,Demand,Energy industry use,,value,ktoe,8.98,28
2023,Electricity,Coke manufacture,Demand,Energy industry use,,value,ktoe,1.5,29
2023,Electricity,Blast furnaces,Demand,Energy industry use,,value,ktoe,11.64,30
2023,Electricity,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Electricity,Pumped storage,Demand,Energy industry use,,value,ktoe,-40.94,32
2023,Electricity,Other,Demand,Energy industry use,,value,ktoe,98.35,33
2023,Electricity,Losses,Demand,,,value,ktoe,2490.56,34
2023,Electricity,Final consumption,Demand,Final consumption,,sum,ktoe,23137.24,35
2023,Electricity,Industry,Demand,Final consumption,Industry,sum,ktoe,7411.03,36
2023,Electricity,Unclassified,Demand,Final consumption,Industry,value,ktoe,0.0,37
2023,Electricity,Iron and steel,Demand,Final consumption,Industry,value,ktoe,182.51,38
2023,Electricity,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,452.24,39
2023,Electricity,Mineral products,Demand,Final consumption,Industry,value,ktoe,452.24,40
2023,Electricity,Chemicals,Demand,Final consumption,Industry,value,ktoe,1206.12,41
2023,Electricity,Mechanical engineering etc,Demand,Final consumption,Industry,value,ktoe,463.18,42
2023,Electricity,Electrical engineering etc,Demand,Final consumption,Industry,value,ktoe,502.96,43
2023,Electricity,Vehicles,Demand,Final consumption,Industry,value,ktoe,321.7,44
2023,Electricity,"Food, beverages etc",Demand,Final consumption,Industry,value,ktoe,938.28,45
2023,Electricity,"Textiles, leather etc",Demand,Final consumption,Industry,value,ktoe,202.51,46
2023,Electricity,"Paper, printing etc",Demand,Final consumption,Industry,value,ktoe,753.72,47
2023,Electricity,Other industries,Demand,Final consumption,Industry,value,ktoe,1800.11,48
2023,Electricity,Construction,Demand,Final consumption,Industry,value,ktoe,135.46,49
2023,Electricity,Transport,Demand,Final consumption,Transport,sum,ktoe,939.01,50
2023,Electricity,Air,Demand,Final consumption,Transport,value,ktoe,0.0,51
2023,Electricity,Rail,Demand,Final consumption,Transport,value,ktoe,407.54,52
2023,Electricity,Road,Demand,Final consumption,Transport,value,ktoe,531.46,53
2023,Electricity,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Electricity,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,55
2023,Electricity,Other,Demand,Final consumption,Other final users,sum,ktoe,14787.19,56
2023,Electricity,Domestic,Demand,Final consumption,Other final users,value,ktoe,7958.36,57
2023,Electricity,Public administration,Demand,Final consumption,Other final users,value,ktoe,1270.67,58
2023,Electricity,Commercial,Demand,Final consumption,Other final users,value,ktoe,5263.14,59
2023,Electricity,Agriculture,Demand,Final consumption,Other final users,value,ktoe,295.02,60
2023,Electricity,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,0.0,61
2023,Electricity,Non energy use,Demand,Final consumption,,value,ktoe,0.0,62
2023,Heat sold,Production,Supply,,,value,ktoe,0.0,5
2023,Heat sold,Imports,Supply,,,value,ktoe,0.0,6
2023,Heat sold,Exports,Supply,,,value,ktoe,0.0,7
2023,Heat sold,Marine bunkers,Supply,,,value,ktoe,0.0,8
2023,Heat sold,Stock change,Supply,,,value,ktoe,0.0,9
2023,Heat sold,Total supply,Supply,,,sum,ktoe,0.0,10
2023,Heat sold,Statistical difference,Statistical difference,,,value,ktoe,0.0,11
2023,Heat sold,Total demand,Demand,,,sum,ktoe,0.0,12
2023,Heat sold,Transfers,Demand,,,value,ktoe,0.0,13
2023,Heat sold,Transformation,Demand,Transformation,,sum,ktoe,1523.37,14
2023,Heat sold,Electricity generation,Demand,Transformation,Electricity generation,sum,ktoe,0.0,15
2023,Heat sold,Major power producers,Demand,Transformation,Electricity generation,value,ktoe,0.0,16
2023,Heat sold,Autogenerators,Demand,Transformation,Electricity generation,value,ktoe,0.0,17
2023,Heat sold,Heat generation,Demand,Transformation,,value,ktoe,1523.37,18
2023,Heat sold,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,19
